Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
grease,nan,nan,72.0,nan,nan
the wicker man,1974-08-07,nan,nan,90,82
see you on venus,2023-07-21,nan,nan,nan,100
amanda,nan,81.0,nan,nan,nan
endless love,nan,nan,49.0,nan,nan
the gentlemen,nan,nan,59.0,nan,nan
bridesmaids,nan,nan,68.0,nan,nan
get out,nan,nan,60.0,nan,nan
back to the future,nan,nan,81.0,nan,nan
dazed and confused,nan,nan,76.0,nan,nan
dune,nan,nan,63.0,nan,nan
deadpool,nan,nan,80.0,nan,nan
knights of the zodiac,nan,nan,84.0,nan,nan
a serbian film,nan,nan,54.0,nan,nan
stay awake,nan,62.0,nan,nan,nan
willy wonka & the chocolate factory,nan,nan,84.0,nan,nan
knives out,nan,nan,68.0,nan,nan
deadpool 3,nan,nan,78.0,nan,nan
cocaine bear,nan,nan,60.0,nan,nan
the boy and the heron,nan,nan,83.0,nan,nan
triangle of sadness,nan,nan,72.0,nan,nan
plan 75,nan,70.0,nan,nan,nan
five nights at freddy's,nan,nan,59.0,nan,nan
baywatch,nan,nan,81.0,nan,nan
indiana jones and the temple of doom,nan,nan,75.0,nan,nan
watchmen,nan,nan,82.0,nan,nan
the wind & the reckoning,nan,nan,nan,nan,nan
the lost city of z,nan,nan,77.0,nan,nan
unrest,nan,75.0,nan,nan,nan
mamma mia!,nan,nan,65.0,nan,nan
gladiator 2,nan,nan,80.0,nan,nan
aquaman and the lost kingdom,nan,nan,84.0,nan,nan
bird box: barcelona,nan,nan,53.0,nan,nan
the passengers of the night,nan,69.0,nan,nan,nan
lakota nation vs. united states,2023-07-14,85.0,nan,100,75
cobweb,2023-07-21,50.0,74.0,61,74
independence day,nan,nan,76.0,nan,nan
after,nan,nan,82.0,nan,nan
space wars: quest for the deepstar,nan,nan,nan,nan,nan
pulp fiction,nan,nan,62.0,nan,nan
guardians of the galaxy,nan,nan,60.0,nan,nan
terminator 2: judgment day,nan,nan,53.0,nan,nan
ratatouille,nan,nan,77.0,nan,nan
the hole in the fence,nan,nan,nan,nan,nan
anxious nation,nan,nan,nan,nan,nan
hostel hudugaru bekagiddare,2023-07-28,nan,nan,nan,nan
shattered,nan,nan,66.0,nan,nan
uncle buck,nan,nan,71.0,nan,nan
doctor strange in the multiverse of madness,nan,nan,69.0,nan,nan
gone girl,nan,nan,50.0,nan,nan
bohemian rhapsody,nan,nan,77.0,nan,nan
sick of myself,nan,71.0,nan,nan,nan
the passion of the christ,nan,nan,82.0,nan,nan
the neighbor,nan,nan,nan,nan,nan
tropic thunder,nan,nan,65.0,nan,nan
following,nan,nan,75.0,nan,nan
once upon a time in hollywood,nan,nan,76.0,nan,nan
unidentified objects,nan,nan,nan,nan,nan
the grand budapest hotel,nan,nan,86.0,nan,nan
indiana jones and the last crusade,nan,nan,82.0,nan,nan
the first slam dunk,2023-07-28,87.0,nan,100,96
32 sounds,nan,88.0,nan,nan,nan
sing 2,nan,nan,51.0,nan,nan
no time to die,nan,nan,73.0,nan,nan
good will hunting,nan,nan,59.0,nan,nan
air,nan,73.0,66.0,nan,nan
hook,nan,nan,68.0,nan,nan
big smooth,nan,nan,nan,nan,nan
r.m.n.,nan,81.0,nan,nan,nan
babylon,nan,nan,71.0,nan,nan
don't worry darling,nan,nan,78.0,nan,nan
chrissy judy,nan,nan,nan,nan,nan
god is a bullet,nan,31.0,55.0,nan,nan
the flash,2023-06-16,56.0,69.0,64,83
on a wing and a prayer,nan,19.0,nan,nan,nan
smoking causes coughing,nan,74.0,nan,nan,nan
asteroid city,2023-06-23,74.0,68.0,74,62
the batman,nan,nan,84.0,nan,nan
happer's comet,nan,nan,nan,nan,nan
zack snyder's justice league,nan,nan,79.0,nan,nan
champions,nan,nan,72.0,nan,nan
the white storm 3: heaven or hell,2023-07-20,nan,nan,nan,87
nuclear now,nan,62.0,nan,nan,nan
snow white,nan,nan,71.0,nan,nan
four quartets,nan,69.0,nan,nan,nan
uncharted,nan,nan,63.0,nan,nan
free guy,nan,nan,37.0,nan,nan
the taking,nan,nan,nan,nan,nan
tusk,nan,nan,90.0,nan,nan
the machine,nan,37.0,52.0,nan,nan
wildflower,nan,nan,89.0,nan,nan
the mother,nan,nan,71.0,nan,nan
okkade veerudu,nan,nan,nan,nan,nan
guardians of the galaxy vol. 3,2023-05-05,64.0,81.0,82,94
snag,nan,nan,nan,nan,nan
missing,nan,nan,71.0,nan,nan
hot fuzz,nan,nan,78.0,nan,nan
the truman show,nan,nan,86.0,nan,nan
transformers,nan,nan,80.0,nan,nan
blow-up,nan,nan,74.0,nan,nan
from dusk till dawn,nan,nan,61.0,nan,nan
cool hand luke,nan,nan,81.0,nan,nan
extraction,nan,nan,68.0,nan,nan
the mother and the whore,1974-03-25,nan,nan,96,92
eternal sunshine of the spotless mind,nan,nan,83.0,nan,nan
operation fortune: ruse de guerre,nan,nan,63.0,nan,nan
all quiet on the western front,nan,nan,78.0,nan,nan
indiana jones and the dial of destiny,2023-06-30,58.0,68.0,69,88
sanctuary,nan,67.0,nan,nan,nan
river,nan,58.0,nan,nan,nan
the ballad of buster scruggs,nan,nan,73.0,nan,nan
squaring the circle (the story of hipgnosis),2023-06-07,76.0,nan,91,80
napoleon,nan,nan,72.0,nan,nan
guardians of the galaxy vol. 2,nan,nan,79.0,nan,nan
dark nature,nan,nan,nan,nan,nan
wonka,nan,nan,73.0,nan,nan
mission: impossible - rogue nation,nan,nan,75.0,nan,nan
thor: love and thunder,nan,nan,75.0,nan,nan
outpost,nan,nan,nan,nan,nan
puss in boots: the last wish,nan,nan,68.0,nan,nan
imagining the indian: the fight against native american mascoting,nan,nan,nan,nan,nan
raiders of the lost ark,nan,nan,64.0,nan,nan
lust stories 2,nan,nan,78.0,nan,nan
here. is. better.,nan,nan,nan,nan,nan
concerned citizen,nan,nan,nan,nan,nan
earth mama,nan,86.0,nan,nan,nan
the line,nan,60.0,nan,nan,nan
renfield,nan,nan,64.0,nan,nan
ajmer 92,2023-07-28,nan,nan,nan,nan
padre pio,nan,45.0,nan,nan,nan
suzume,nan,77.0,83.0,nan,nan
pride & prejudice,nan,nan,72.0,nan,nan
mission: impossible - ghost protocol,nan,nan,73.0,nan,nan
bait,nan,83.0,nan,nan,nan
fantastic mr. fox,nan,nan,82.0,nan,nan
dry ground burning,nan,84.0,nan,nan,nan
passion,nan,nan,nan,nan,nan
land of gold,nan,nan,nan,nan,nan
run rabbit run,nan,nan,70.0,nan,nan
the french dispatch,nan,nan,49.0,nan,nan
pirates of the caribbean: the curse of the black pearl,nan,nan,42.0,nan,nan
shutter island,nan,nan,79.0,nan,nan
dead man's hand,nan,nan,nan,nan,nan
the lord of the rings: the return of the king,nan,nan,90.0,nan,nan
pretty red dress,nan,71.0,nan,nan,nan
spirited away: live on stage,nan,nan,nan,nan,nan
the modelizer,nan,nan,nan,nan,nan
joker,nan,nan,85.0,nan,nan
superman: legacy,nan,nan,82.0,nan,nan
millie lies low,nan,60.0,nan,nan,nan
knock at the cabin,nan,nan,71.0,nan,nan
insidious: chapter 3,nan,nan,61.0,nan,nan
transformers: revenge of the fallen,nan,nan,59.0,nan,nan
acidman,nan,nan,nan,nan,nan
blackberry,nan,80.0,87.0,nan,nan
l'immensità,2023-05-12,73.0,nan,82,63
master gardener,2023-05-19,63.0,nan,71,55
fear the night,2023-07-21,30.0,nan,35,29
hacksaw ridge,nan,nan,81.0,nan,nan
the lincoln lawyer,nan,nan,73.0,nan,nan
circus maximus,2023-07-27,nan,nan,nan,76
the outsiders,nan,nan,70.0,nan,nan
montréal girls,nan,nan,nan,nan,nan
it,nan,nan,73.0,nan,nan
the martian,nan,nan,81.0,nan,nan
killers of the flower moon,nan,nan,82.0,nan,nan
fat man and little boy,nan,nan,65.0,nan,nan
topology of sirens,2023-07-28,nan,nan,nan,nan
gringa,nan,nan,nan,nan,nan
captain america: the first avenger,nan,nan,74.0,nan,nan
the unbearable weight of massive talent,nan,nan,78.0,nan,nan
sicario,nan,nan,57.0,nan,nan
fall,nan,nan,64.0,nan,nan
transformers: the last knight,nan,nan,52.0,nan,nan
malena,nan,nan,68.0,nan,nan
gladiator,nan,nan,59.0,nan,nan
insidious: the red door,2023-07-07,45.0,67.0,38,69
the equalizer 3,nan,nan,76.0,nan,nan
beetlejuice 2,nan,nan,69.0,nan,nan
léon: the professional,nan,nan,73.0,nan,nan
miraculous: ladybug & cat noir the movie,2023-07-21,nan,nan,40,84
the green mile,nan,nan,76.0,nan,nan
little bone lodge,nan,nan,77.0,nan,nan
sons of summer,2023-07-28,nan,nan,nan,nan
prisoner's daughter,nan,48.0,nan,nan,nan
sisu,nan,nan,76.0,nan,nan
the witch,nan,nan,83.0,nan,nan
museum of the revolution,nan,nan,nan,nan,nan
red white & royal blue,nan,nan,72.0,nan,nan
cherry,nan,64.0,nan,nan,nan
the last rider,2023-06-23,68.0,nan,95,100
annihilation,nan,nan,81.0,nan,nan
interstellar,nan,nan,74.0,nan,nan
disquiet,nan,nan,38.0,nan,nan
old,nan,nan,63.0,nan,nan
black swan,nan,nan,81.0,nan,nan
kokomo city,2023-07-28,78.0,nan,97,nan
lolita,nan,nan,70.0,nan,nan
biosphere,2023-07-07,59.0,nan,80,74
migration,nan,nan,73.0,nan,nan
true romance,nan,nan,74.0,nan,nan
the covenant,nan,nan,54.0,nan,nan
have you got it yet? the story of syd barrett and pink floyd,nan,83.0,nan,nan,nan
close to vermeer,2023-05-26,nan,nan,100,99
american psycho,nan,nan,74.0,nan,nan
american sniper,nan,nan,73.0,nan,nan
x,nan,nan,79.0,nan,nan
promising young woman,nan,nan,78.0,nan,nan
the baker,2023-07-28,nan,nan,43,61
return to dust,2023-07-21,78.0,nan,96,71
sound of freedom,2023-07-04,43.0,79.0,72,99
the conjuring,nan,nan,83.0,nan,nan
once upon a time in ukraine,nan,nan,nan,nan,nan
logan,nan,nan,53.0,nan,nan
insidious,nan,nan,80.0,nan,nan
nefarious,nan,nan,75.0,nan,nan
we might as well be dead,nan,nan,nan,nan,nan
johnny & clyde,nan,nan,nan,nan,nan
the crusades,nan,nan,nan,nan,nan
the haunted mansion,nan,nan,90.0,nan,nan
the league,2023-07-07,77.0,nan,95,85
the island,2023-07-21,nan,nan,nan,60
war of the worlds: the attack,nan,nan,nan,nan,nan
desperate souls dark city and the legend of midnight cowboy,2023-06-23,60.0,nan,88,78
i'll show you mine,nan,nan,nan,nan,nan
joy ride,2023-07-07,75.0,61.0,91,81
