Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
employee of the month,nan,nan,nan,nan,nan
the terminator,nan,nan,81.0,nan,nan
the lord of the rings: the fellowship of the ring,nan,nan,88.0,nan,nan
the imitation game,nan,nan,80.0,nan,nan
frances ha,nan,nan,74.0,nan,nan
the mummy,nan,nan,73.0,nan,nan
the hunger games,nan,nan,75.0,nan,nan
roald dahl's matilda the musical,nan,nan,70.0,nan,nan
what's love got to do with it?,nan,59.0,nan,nan,nan
a simple favor,nan,nan,70.0,nan,nan
the notebook,nan,nan,78.0,nan,nan
the unknown country,2023-07-28,82.0,nan,88,nan
scarface,nan,nan,83.0,nan,nan
carmen,nan,nan,59.0,nan,nan
baby driver,nan,nan,38.0,nan,nan
ready or not,nan,nan,65.0,nan,nan
1917,nan,nan,82.0,nan,nan
walid,2023-07-28,nan,nan,nan,nan
10 things i hate about you,nan,nan,58.0,nan,nan
annapurna photo studio,2023-07-21,nan,nan,nan,nan
the end of sex,nan,43.0,nan,nan,nan
ant-man and the wasp: quantumania,nan,nan,61.0,nan,nan
the beanie bubble,2023-07-21,50.0,78.0,54,62
two tickets to greece,nan,52.0,nan,nan,nan
the dark knight rises,nan,nan,84.0,nan,nan
prey,nan,nan,71.0,nan,nan
m3gan,nan,nan,63.0,nan,nan
saving private ryan,nan,nan,86.0,nan,nan
infinity pool,nan,nan,61.0,nan,nan
his only son,nan,nan,nan,nan,nan
zodiac,nan,nan,53.0,nan,nan
the childe,2023-06-30,nan,nan,100,97
black hawk down,nan,nan,78.0,nan,nan
the handmaiden,nan,nan,63.0,nan,nan
dragged across concrete,nan,nan,69.0,nan,nan
star trek,nan,nan,68.0,nan,nan
the cow who sang a song into the future,2023-05-19,nan,nan,89,99
stephen curry: underrated,2023-07-21,69.0,nan,87,88
go west,2023-07-14,nan,nan,nan,80
rogue one: a star wars story,nan,nan,56.0,nan,nan
mr. car and the knights templar,nan,nan,87.0,nan,nan
the night of the 12th,nan,81.0,nan,nan,nan
the shining,nan,nan,78.0,nan,nan
expend4bles,nan,nan,85.0,nan,nan
spirited away,nan,nan,86.0,nan,nan
every body,nan,79.0,nan,nan,nan
a man called otto,nan,nan,68.0,nan,nan
sam now,nan,nan,nan,nan,nan
afire,2023-07-14,84.0,nan,89,50
the northman,nan,nan,61.0,nan,nan
28 days later,nan,nan,81.0,nan,nan
man of steel,nan,nan,65.0,nan,nan
eyes wide shut,nan,nan,75.0,nan,nan
are you there god? it's me margaret.,nan,nan,85.0,nan,nan
mission: impossible - dead reckoning part one,2023-07-12,81.0,80.0,96,94
drive,nan,nan,63.0,nan,nan
parasite,nan,nan,58.0,nan,nan
barbie,2023-07-21,80.0,75.0,89,86
the goonies,nan,nan,77.0,nan,nan
dune: part two,nan,nan,84.0,nan,nan
elemental,2023-06-16,58.0,76.0,73,93
doctor sleep,nan,nan,73.0,nan,nan
my fault,nan,nan,66.0,nan,nan
spring breakers,nan,nan,65.0,nan,nan
barbarian,nan,nan,63.0,nan,nan
gran turismo,nan,nan,77.0,nan,nan
aneethi,2023-07-21,nan,nan,nan,nan
the big lebowski,nan,nan,81.0,nan,nan
ford v ferrari,nan,nan,78.0,nan,nan
the hunger games: the ballad of songbirds and snakes,nan,nan,70.0,nan,nan
winnie the pooh: blood and honey,nan,nan,76.0,nan,nan
voice of sathyanathan,2023-07-28,nan,nan,nan,nan
shin kamen rider,nan,nan,nan,nan,nan
mad max: fury road,nan,nan,86.0,nan,nan
taxi driver,nan,nan,84.0,nan,nan
ruby gillman teenage kraken,2023-06-30,50.0,57.0,66,81
